id,parent_id,url,zh,en,started,ended,updated,domain_tag_ids,media_tag_ids,tool_tag_ids,stage_tag_ids,state_tag_ids,license_tag_ids
llscanner,,https://etblue.github.io/llscanner/,勞基法掃描器,Labor Laws Scanner,2017-03-01,2018-01-01,,open_data;law;labor,web_app,web_planning_or_ux;ui_design;react;react_router;redux;webpack;semantic_ui;schema_design,revising,handling,mit
llscanner_theme_song,llscanner,https://blend.io/etblue/scanner,《勞基法掃描器》主題曲,"Theme Song for ""Labor Laws Scanner""",2017-09-01,,,open_data;law;labor,song,garage_band;compose;lyric;vocal,online,finished,cc_by-nc
llscanner_release_note,llscanner,https://etblue.blogspot.com/2018/02/experiment-labor-laws-scanner.html,實驗心得：勞基法掃描器——如何把法條轉譯成自動化的判讀程式？以勞動基準法為例,Release Note for Labor Laws Scanner,,2018-02-28,,open_data;law;labor,article,,online,finished,
jrpilot,,https://etblue.github.io/jrpilot/,提案闖天關,JRConf Proposals Explorer,2017-08-01,2017-08-01,,open_data;law;public_deliberation,web_app,web_planning_or_ux;ui_design;react;semantic_ui;schema_design,online,finished,mit
jrpilot_release_note,jrpilot,https://etblue.blogspot.com/2017/08/open-data-combo-deliberative-democracy.html,實驗心得：提案闖天關—— Open Data 與審議民主怎麼 Combo？以司改國是會議資料為例,Release Note for JRConf Proposals Explorer,,2017-08-24,,open_data;law;public_deliberation,article,,online,finished,
ocf_web,,http://ocf.tw/,開放文化基金會官方網站,Official Website of Open Culture Foundation,2016-06-01,2016-12-01,,open_culture,content_site,web_planning_or_ux;project_management;semantic_ui;jekyll;schema_design,online,finished,mit
ocf_web_release_note,ocf_web,https://etblue.blogspot.tw/2017/06/ocf-official-website.html,成果發表：開放文化基金會（OCF）官方網站,Release Note for Official Website of Open Culture Foundation,,2017-06-22,,open_culture,article,,online,finished,
debater,,http://etblue.github.io/debater/,辯論家,Debater,2016-03-01,2016-08-01,,open_data;media;gossip,web_app,web_planning_or_ux;ui_design;bootstrap;slim;gulp,online,finished,mit
debater_speech,debater,https://docs.google.com/presentation/d/1RxJxZ_HAWZkDNIy9y2UZPZ3M7oNIxcdLJd6UzIO9egc/edit?usp=sharing,Debater 辯論家～網路筆戰大亂鬥 ,Speech about Debater in COSCUP 2016,,2016-08-21,,open_data;media;gossip,speech,,online,finished,
debater_theme_music,debater,https://blend.io/etblue/debater,《Debater》主題曲,"Theme Song for ""Debater""",2016-07-01,,2018-03-31,open_data;media;gossip,song,garage_band;compose;lyric;vocal,online,finished,cc_by-nc
